transaction_id,site_id,user_id,vehicle_id,payment_status,entry_time,exit_time,price
799130,472,859507,840035,Payment Not Required,2022-09-30T19:09:47-05:00,2022-09-30T19:45:51-05:00,0.00
799131,472,875220,851932,Payment Not Required,2022-09-30T19:10:01-05:00,2022-09-30T21:19:51-05:00,0.00
799132,493,875226,851935,Payment Not Required,2022-09-30T19:11:11-05:00,2022-09-30T22:03:29-05:00,20.00
799133,495,875225,851936,Payment Not Required,2022-09-30T19:11:18-05:00,2022-09-30T21:23:19-05:00,20.00
799134,472,875227,851937,Payment Not Required,2022-09-30T19:11:48-05:00,2022-09-30T20:48:38-05:00,0.00
799135,493,875230,851938,Payment Not Required,2022-09-30T19:12:36-05:00,,
799136,472,875285,851973,Payment Not Required,2022-09-30T19:12:41-05:00,2022-10-07T07:28:59-05:00,0.00
799137,472,875231,851940,Payment Not Required,2022-09-30T19:13:25-05:00,2022-09-30T19:35:11-05:00,0.00
799138,493,875233,851941,Payment Completed,2022-09-30T19:13:27-05:00,2022-09-30T21:12:01-05:00,20.00
799139,474,875236,851942,Payment Completed,2022-09-30T19:15:01-05:00,2022-09-30T20:52:36-05:00,20.00
799140,496,875237,851943,Payment Completed,2022-09-30T19:15:11-05:00,2022-09-30T21:50:43-05:00,20.00
799141,472,868006,846408,Payment Not Required,2022-09-30T19:17:42-05:00,2022-10-07T07:29:04-05:00,0.00
799142,496,875240,851945,Payment Completed,2022-09-30T19:17:52-05:00,2022-09-30T22:56:06-05:00,20.00
799143,473,874153,851197,Payment Completed,2022-09-30T19:17:53-05:00,2022-10-01T07:26:50-05:00,20.00
799144,474,875242,851952,Payment Not Required,2022-09-30T19:18:54-05:00,2022-09-30T21:10:22-05:00,20.00
799145,483,875244,851948,Payment Completed,2022-09-30T19:19:56-05:00,2022-09-30T19:20:00-05:00,8.00
799146,472,531611,530349,Payment Not Required,2022-09-30T19:21:50-05:00,2022-09-30T21:37:00-05:00,0.00
799147,474,875247,851949,Payment Not Required,2022-09-30T19:21:51-05:00,2022-09-30T20:34:43-05:00,15.00
799151,496,875252,851954,Payment Not Required,2022-09-30T19:23:31-05:00,2022-09-30T21:45:44-05:00,20.00
799154,474,786628,780933,Payment Completed,2022-09-30T19:26:33-05:00,2022-09-30T21:13:30-05:00,20.00
799155,495,875257,851955,Payment Not Required,2022-09-30T19:27:01-05:00,2022-09-30T21:22:50-05:00,20.00
799156,496,875256,851956,Payment Completed,2022-09-30T19:27:04-05:00,2022-09-30T21:08:38-05:00,20.00
799157,474,875258,851957,Payment Completed,2022-09-30T19:27:06-05:00,2022-09-30T21:11:51-05:00,20.00
799158,493,875260,851958,Payment Not Required,2022-09-30T19:27:40-05:00,2022-09-30T22:10:19-05:00,20.00
799159,474,875367,852032,Payment Completed,2022-09-30T19:28:19-05:00,2022-09-30T21:02:08-05:00,20.00
799160,495,875266,851960,Payment Not Required,2022-09-30T19:28:37-05:00,2022-09-30T21:03:42-05:00,15.00
799161,493,875265,851961,Payment Not Required,2022-09-30T19:28:44-05:00,2022-09-30T21:52:34-05:00,20.00
799162,474,854937,851962,Payment Not Required,2022-09-30T19:29:30-05:00,2022-09-30T21:54:47-05:00,25.00
799164,493,875269,851963,Payment Completed,2022-09-30T19:29:48-05:00,2022-09-30T22:07:38-05:00,20.00
799165,474,852248,834634,Payment Not Required,2022-09-30T19:29:49-05:00,2022-09-30T19:30:27-05:00,5.00
799166,474,875387,852046,Payment Not Required,2022-09-30T19:29:56-05:00,2022-09-30T21:30:23-05:00,25.00
799167,474,875277,851964,Payment Not Required,2022-09-30T19:30:36-05:00,2022-09-30T21:39:02-05:00,25.00
799168,493,875272,851965,Payment Not Required,2022-09-30T19:30:46-05:00,2022-09-30T22:07:40-05:00,20.00
799169,495,875275,851966,Payment Foregone,2022-09-30T19:31:14-05:00,2022-09-30T20:58:46-05:00,15.00
799170,474,875280,851967,Payment Completed,2022-09-30T19:31:18-05:00,2022-09-30T21:26:54-05:00,20.00
799171,474,875283,851968,Payment Completed,2022-09-30T19:31:55-05:00,2022-09-30T22:40:45-05:00,25.00
799173,474,805926,851970,Payment Completed,2022-09-30T19:32:35-05:00,2022-09-30T23:06:22-05:00,25.00
799174,472,717932,714820,Payment Not Required,2022-09-30T19:32:36-05:00,2022-09-30T20:58:33-05:00,0.00
799175,474,768863,764133,Payment Not Required,2022-09-30T19:32:50-05:00,2022-09-30T21:31:40-05:00,20.00
799176,472,875281,851971,Payment Not Required,2022-09-30T19:32:55-05:00,,
799177,474,810839,697645,Payment Not Required,2022-09-30T19:33:07-05:00,2022-09-30T19:36:04-05:00,5.00
799178,495,875284,851972,Payment Not Required,2022-09-30T19:33:09-05:00,2022-09-30T20:58:34-05:00,15.00
799180,474,805926,798316,Payment Completed,2022-09-30T19:33:46-05:00,2022-09-30T21:13:05-05:00,20.00
799182,474,875287,851974,Payment Completed,2022-09-30T19:34:15-05:00,2022-09-30T21:12:35-05:00,20.00
799184,493,806477,798771,Payment Completed,2022-09-30T19:35:59-05:00,2022-09-30T21:24:36-05:00,20.00
799185,474,875288,632759,Payment Not Required,2022-09-30T19:35:52-05:00,2022-09-30T21:38:24-05:00,25.00
799186,474,875291,851976,Payment Not Required,2022-09-30T19:38:29-05:00,2022-09-30T21:17:51-05:00,20.00
799187,474,875399,852057,Payment Not Required,2022-09-30T19:40:08-05:00,2022-09-30T21:52:51-05:00,25.00
799188,474,875406,852063,Payment Not Required,2022-09-30T19:42:10-05:00,2022-09-30T22:06:12-05:00,25.00
799189,472,875285,851973,Payment Not Required,2022-09-30T19:42:19-05:00,2022-10-07T07:28:54-05:00,0.00
799190,472,723316,719966,Payment Not Required,2022-09-30T19:42:22-05:00,2022-09-30T21:48:43-05:00,0.00
799191,474,847513,831285,Payment Not Required,2022-09-30T19:42:26-05:00,2022-09-30T19:43:05-05:00,5.00
799192,474,845020,829525,Payment Not Required,2022-09-30T19:42:35-05:00,2022-09-30T21:30:01-05:00,20.00
799193,493,875299,851981,Payment Not Required,2022-09-30T19:44:46-05:00,2022-09-30T21:41:28-05:00,20.00
799196,493,875304,851983,Payment Not Required,2022-09-30T19:47:48-05:00,2022-09-30T21:07:01-05:00,15.00
799198,474,875305,851984,Payment Completed,2022-09-30T19:47:51-05:00,2022-09-30T21:06:30-05:00,15.00
799199,472,873567,850729,Payment Not Required,2022-09-30T19:48:32-05:00,2022-10-01T07:05:36-05:00,0.00
799200,472,875306,851985,Payment Not Required,2022-09-30T19:49:11-05:00,2022-10-01T10:23:42-05:00,0.00
799201,472,873574,850735,Payment Not Required,2022-09-30T19:49:40-05:00,2022-10-01T07:09:02-05:00,0.00
799202,472,771720,766851,Payment Not Required,2022-09-30T19:49:48-05:00,2022-09-30T20:35:43-05:00,0.00
799203,493,875310,810716,Payment Completed,2022-09-30T19:50:19-05:00,2022-09-30T21:34:18-05:00,15.00
799204,495,875312,851989,Payment Not Required,2022-09-30T19:50:49-05:00,2022-09-30T21:55:17-05:00,20.00
799205,493,875315,851991,Payment Not Required,2022-09-30T19:53:30-05:00,2022-09-30T21:10:52-05:00,10.00
799206,495,875318,851992,Payment Not Required,2022-09-30T19:53:54-05:00,2022-09-30T21:16:21-05:00,15.00
799208,474,875320,851994,Payment Completed,2022-09-30T19:54:40-05:00,2022-09-30T21:42:30-05:00,20.00
799209,496,765821,851995,Payment Not Required,2022-09-30T19:55:18-05:00,2022-09-30T20:57:46-05:00,10.00
799210,495,875323,851996,Payment Not Required,2022-09-30T19:55:45-05:00,2022-09-30T22:17:30-05:00,20.00
799211,473,875324,851997,Payment Not Required,2022-09-30T19:56:13-05:00,2022-09-30T20:00:52-05:00,0.00
799212,474,852248,834634,Payment Not Required,2022-09-30T19:57:09-05:00,2022-09-30T21:43:03-05:00,20.00
799213,474,875325,851998,Payment Not Required,2022-09-30T19:57:26-05:00,2022-09-30T19:58:00-05:00,5.00
799214,493,858375,851999,Payment Not Required,2022-09-30T20:00:01-05:00,2022-09-30T21:51:55-05:00,20.00
799215,474,875328,852001,Payment Not Required,2022-09-30T20:02:07-05:00,2022-09-30T20:10:49-05:00,5.00
799216,472,804028,796820,Payment Not Required,2022-09-30T20:06:21-05:00,2022-09-30T23:45:42-05:00,0.00
799217,472,875332,852005,Payment Not Required,2022-09-30T20:07:22-05:00,2022-09-30T22:17:30-05:00,0.00
799218,493,875334,852006,Payment Not Required,2022-09-30T20:07:24-05:00,2022-09-30T21:52:22-05:00,15.00
799219,472,483950,482934,Payment Not Required,2022-09-30T20:07:24-05:00,2022-09-30T21:15:10-05:00,0.00
799220,474,875337,852007,Payment Completed,2022-09-30T20:07:38-05:00,2022-09-30T20:27:49-05:00,5.00
799221,474,779408,840348,Payment Completed,2022-09-30T20:08:11-05:00,2022-09-30T23:16:24-05:00,25.00
799222,474,875339,852009,Payment Completed,2022-09-30T20:09:33-05:00,2022-09-30T22:57:20-05:00,25.00
799223,474,778870,773619,Payment Completed,2022-09-30T20:12:39-05:00,2022-09-30T22:56:59-05:00,25.00
799225,474,778909,773662,Payment Not Required,2022-09-30T20:18:45-05:00,2022-09-30T21:33:45-05:00,15.00
799228,474,854957,836580,Payment Foregone,2022-09-30T20:21:17-05:00,2022-10-01T00:16:03-05:00,25.00
799229,472,875346,852016,Payment Not Required,2022-09-30T20:21:32-05:00,2022-09-30T23:41:27-05:00,0.00
799230,493,780831,852017,Payment Not Required,2022-09-30T20:22:09-05:00,2022-09-30T22:24:39-05:00,20.00
799231,472,862242,842072,Payment Not Required,2022-09-30T20:22:37-05:00,2022-09-30T23:44:05-05:00,0.00
799232,474,875350,852022,Payment Completed,2022-09-30T20:24:09-05:00,2022-09-30T22:37:48-05:00,25.00
799233,474,875352,852021,Payment Completed,2022-09-30T20:24:52-05:00,2022-09-30T22:38:48-05:00,25.00
799234,474,830259,818572,Payment Completed,2022-09-30T20:26:44-05:00,2022-09-30T23:52:48-05:00,25.00
799235,495,732160,852022,Payment Not Required,2022-09-30T20:27:01-05:00,2022-09-30T21:48:55-05:00,15.00
799236,474,875159,851891,Payment Completed,2022-09-30T20:29:42-05:00,2022-09-30T20:30:36-05:00,5.00
799237,474,875428,852080,Payment Completed,2022-09-30T20:29:50-05:00,2022-09-30T23:34:31-05:00,25.00
799238,472,669573,666511,Payment Not Required,2022-09-30T20:34:31-05:00,2022-10-01T14:46:42-05:00,0.00
799239,472,774394,769288,Payment Not Required,2022-09-30T20:34:37-05:00,2022-09-30T22:03:03-05:00,0.00
799242,472,481923,480931,Payment Not Required,2022-09-30T20:36:34-05:00,2022-09-30T22:08:32-05:00,0.00
799243,495,741038,852026,Payment Completed,2022-09-30T20:38:51-05:00,2022-09-30T21:42:52-05:00,10.00
799245,474,875361,852028,Payment Completed,2022-09-30T20:44:19-05:00,2022-09-30T22:34:52-05:00,20.00
799246,472,821408,811510,Payment Not Required,2022-09-30T20:46:15-05:00,2022-09-30T21:13:42-05:00,0.00
799248,472,789714,783881,Payment Not Required,2022-09-30T20:47:58-05:00,2022-10-01T01:41:03-05:00,0.00
799249,474,875362,852029,Payment Not Required,2022-09-30T20:49:35-05:00,2022-09-30T23:10:57-05:00,25.00
799250,473,865800,844798,Payment Foregone,2022-09-30T20:53:07-05:00,2022-09-30T23:02:31-05:00,20.00
799251,485,875364,852030,Payment Completed,2022-09-30T20:53:34-05:00,2022-09-30T20:54:00-05:00,10.00
799252,473,771548,766789,Payment Not Required,2022-09-30T20:56:32-05:00,2022-10-01T06:25:04-05:00,0.00
799253,474,875425,852077,Payment Not Required,2022-09-30T20:57:07-05:00,2022-09-30T22:55:11-05:00,20.00
799254,493,875366,852031,Payment Not Required,2022-09-30T20:57:51-05:00,2022-09-30T22:29:18-05:00,15.00
799255,474,837806,784942,Payment Not Required,2022-09-30T21:05:27-05:00,2022-09-30T22:19:22-05:00,15.00
799256,474,875368,852033,Payment Completed,2022-09-30T21:06:02-05:00,2022-09-30T23:49:29-05:00,25.00
799257,474,875373,852034,Payment Not Required,2022-09-30T21:09:01-05:00,2022-09-30T21:19:32-05:00,5.00
799258,474,875375,852035,Payment Not Required,2022-09-30T21:09:57-05:00,2022-09-30T21:16:10-05:00,5.00
799259,474,875376,852036,Payment Foregone,2022-09-30T21:10:43-05:00,2022-10-01T07:09:51-05:00,25.00
799260,474,875377,852038,Payment Not Required,2022-09-30T21:11:54-05:00,2022-09-30T22:18:55-05:00,15.00
799261,472,835425,822457,Payment Not Required,2022-09-30T21:16:43-05:00,2022-09-30T22:51:07-05:00,0.00
799262,474,875430,852082,Payment Not Required,2022-09-30T21:16:45-05:00,2022-09-30T23:35:36-05:00,25.00
799263,474,875372,852037,Payment Completed,2022-09-30T21:10:46-05:00,2022-09-30T22:26:00-05:00,15.00
799266,474,810960,834863,Payment Not Required,2022-09-30T21:24:09-05:00,2022-09-30T23:33:26-05:00,25.00
799267,473,772533,767561,Payment Not Required,2022-09-30T21:24:40-05:00,2022-10-01T06:35:26-05:00,0.00
799268,474,775979,817108,Payment Not Required,2022-09-30T21:24:40-05:00,2022-09-30T22:27:14-05:00,15.00
799269,472,875382,852043,Payment Not Required,2022-09-30T21:26:30-05:00,2022-09-30T23:11:46-05:00,0.00
799270,474,875384,852044,Payment Not Required,2022-09-30T21:26:31-05:00,2022-09-30T23:33:49-05:00,25.00
799271,472,875390,852049,Payment Not Required,2022-09-30T21:28:51-05:00,2022-10-01T13:02:30-05:00,0.00
799272,473,772433,767435,Payment Not Required,2022-09-30T21:29:59-05:00,2022-10-01T06:30:13-05:00,0.00
799274,472,864446,843765,Payment Not Required,2022-09-30T21:35:51-05:00,2022-09-30T21:50:57-05:00,0.00
799276,474,875395,852052,Payment Not Required,2022-09-30T21:45:58-05:00,2022-09-30T23:09:47-05:00,15.00
799277,472,875394,852053,Payment Not Required,2022-09-30T21:46:21-05:00,2022-09-30T23:28:37-05:00,0.00
799278,474,817303,807902,Payment Completed,2022-09-30T21:46:31-05:00,2022-09-30T23:10:11-05:00,15.00
799279,472,571179,569711,Payment Not Required,2022-09-30T21:48:05-05:00,2022-09-30T22:08:53-05:00,0.00
799281,472,875397,852055,Payment Not Required,2022-09-30T21:51:26-05:00,2022-09-30T22:01:19-05:00,0.00
799282,472,875411,852067,Payment Not Required,2022-09-30T21:51:32-05:00,2022-10-07T07:29:07-05:00,0.00
799283,472,875400,852058,Payment Not Required,2022-09-30T21:54:52-05:00,2022-09-30T22:23:31-05:00,0.00
799284,472,816563,807248,Payment Not Required,2022-09-30T21:59:44-05:00,2022-09-30T23:07:11-05:00,0.00
799286,474,875403,852060,Payment Not Required,2022-09-30T22:03:12-05:00,2022-09-30T23:41:11-05:00,20.00
799287,472,867985,846389,Payment Not Required,2022-09-30T22:04:01-05:00,2022-10-01T00:36:34-05:00,0.00
799289,474,875410,852065,Payment Completed,2022-09-30T22:12:43-05:00,2022-09-30T22:50:10-05:00,10.00
799290,474,826290,815493,Payment Foregone,2022-09-30T22:14:31-05:00,2022-10-01T00:02:19-05:00,25.00
799292,472,875422,852074,Payment Not Required,2022-09-30T22:18:13-05:00,2022-10-07T07:28:53-05:00,0.00
799293,474,875418,852071,Payment Not Required,2022-09-30T22:22:03-05:00,2022-09-30T23:40:39-05:00,15.00
799294,474,875416,852070,Payment Not Required,2022-09-30T22:20:01-05:00,2022-10-01T00:05:00-05:00,20.00
799296,474,875421,818575,Payment Foregone,2022-09-30T22:33:00-05:00,2022-10-01T07:09:32-05:00,25.00
799298,472,875424,852076,Payment Not Required,2022-09-30T22:51:30-05:00,2022-10-07T07:28:51-05:00,0.00
799299,473,865795,844793,Payment Not Required,2022-09-30T22:56:15-05:00,2022-09-30T23:01:03-05:00,0.00
799300,472,651322,648357,Payment Not Required,2022-09-30T22:56:55-05:00,2022-09-30T23:19:25-05:00,0.00
799301,472,875426,852078,Payment Not Required,2022-09-30T22:57:10-05:00,2022-10-01T00:18:51-05:00,0.00
799308,474,795244,789035,Payment Not Required,2022-10-01T00:14:06-05:00,2022-10-01T00:14:16-05:00,0.00
799311,472,765418,828433,Payment Not Required,2022-10-01T00:18:50-05:00,2022-10-01T08:08:35-05:00,0.00
799316,472,875439,852091,Payment Not Required,2022-10-01T02:16:44-05:00,2022-10-01T11:23:44-05:00,0.00
799317,472,835243,822315,Payment Not Required,2022-10-01T02:22:19-05:00,2022-10-03T14:11:46-05:00,0.00
799319,473,756338,759843,Payment Not Required,2022-10-01T05:12:40-05:00,2022-10-01T19:25:10-05:00,0.00
799322,473,789620,783790,Payment Not Required,2022-10-01T05:20:57-05:00,2022-10-01T14:24:58-05:00,0.00
799323,473,852634,730437,Payment Completed,2022-10-01T05:22:24-05:00,2022-10-01T14:37:44-05:00,10.00
799325,473,865826,844817,Payment Not Required,2022-10-01T05:25:20-05:00,2022-10-01T14:21:37-05:00,10.00
799326,473,809815,801688,Payment Not Required,2022-10-01T05:25:34-05:00,2022-10-01T14:34:27-05:00,10.00
799327,473,776900,771735,Payment Not Required,2022-10-01T05:27:06-05:00,2022-10-01T17:10:31-05:00,0.00
799328,473,701094,697994,Payment Foregone,2022-10-01T05:28:21-05:00,2022-10-01T11:10:52-05:00,10.00
799330,473,875753,852319,Payment Not Required,2022-10-01T05:31:14-05:00,2022-10-01T14:24:54-05:00,10.00
799331,473,771143,766299,Payment Not Required,2022-10-01T05:33:02-05:00,2022-10-01T14:04:38-05:00,0.00
799336,473,771144,766300,Payment Not Required,2022-10-01T05:38:24-05:00,2022-10-01T14:12:56-05:00,0.00
799337,473,771139,766296,Payment Not Required,2022-10-01T05:39:44-05:00,2022-10-01T14:02:55-05:00,0.00
799338,472,771245,766383,Payment Not Required,2022-10-01T05:39:51-05:00,2022-10-01T17:51:05-05:00,0.00
799339,473,786941,781239,Payment Not Required,2022-10-01T05:40:49-05:00,2022-10-01T11:11:52-05:00,0.00
799340,473,792986,786938,Payment Not Required,2022-10-01T05:42:34-05:00,2022-10-01T15:03:56-05:00,0.00
799341,473,857450,838497,Payment Foregone,2022-10-01T05:46:13-05:00,2022-10-02T13:13:58-05:00,30.00
799342,473,696605,693509,Payment Completed,2022-10-01T05:46:36-05:00,2022-10-01T15:23:00-05:00,10.00
799343,473,808455,800510,Payment Not Required,2022-10-01T05:46:36-05:00,2022-10-01T15:10:23-05:00,10.00
799344,473,796059,789713,Payment Not Required,2022-10-01T05:53:25-05:00,2022-10-01T14:14:48-05:00,0.00
799345,473,771128,766498,Payment Not Required,2022-10-01T05:54:15-05:00,2022-10-01T14:22:30-05:00,10.00
799347,473,790358,784494,Payment Not Required,2022-10-01T05:54:48-05:00,2022-10-02T13:14:00-05:00,0.00
799349,472,740672,736523,Payment Not Required,2022-10-01T05:57:54-05:00,2022-10-01T10:38:33-05:00,0.00
799354,474,771251,766427,Payment Not Required,2022-10-01T06:03:39-05:00,2022-10-01T17:50:58-05:00,0.00
799355,473,696578,693482,Payment Not Required,2022-10-01T06:09:14-05:00,2022-10-01T16:04:40-05:00,10.00
799356,472,469074,468123,Payment Not Required,2022-10-01T06:16:40-05:00,2022-10-01T15:03:51-05:00,0.00
799357,473,790793,784867,Payment Not Required,2022-10-01T06:16:59-05:00,2022-10-01T06:11:20-05:00,0.00
799360,472,776640,771492,Payment Not Required,2022-10-01T06:24:01-05:00,2022-10-01T18:31:41-05:00,0.00
799361,473,793375,787287,Payment Not Required,2022-10-01T06:24:30-05:00,2022-10-01T16:02:18-05:00,0.00
799363,472,768834,764058,Payment Not Required,2022-10-01T06:24:42-05:00,2022-10-01T10:10:54-05:00,0.00
799365,472,771339,766480,Payment Not Required,2022-10-01T06:26:35-05:00,2022-10-01T17:27:21-05:00,0.00
799366,473,860797,842510,Payment Not Required,2022-10-01T06:26:54-05:00,2022-10-01T17:05:41-05:00,0.00
799367,472,616892,614381,Payment Not Required,2022-10-01T06:27:39-05:00,2022-10-01T18:05:40-05:00,0.00
799368,472,789637,783828,Payment Not Required,2022-10-01T06:27:51-05:00,2022-10-01T14:42:36-05:00,0.00
799369,472,829358,817945,Payment Not Required,2022-10-01T06:28:05-05:00,2022-10-01T15:19:51-05:00,0.00
799370,472,867344,845935,Payment Not Required,2022-10-01T06:29:10-05:00,2022-10-01T15:32:58-05:00,0.00
799371,472,843155,828973,Payment Not Required,2022-10-01T06:30:15-05:00,2022-10-01T19:01:40-05:00,0.00
799372,472,829356,817946,Payment Not Required,2022-10-01T06:30:46-05:00,2022-10-01T18:22:24-05:00,0.00
799374,472,771344,797470,Payment Not Required,2022-10-01T06:32:45-05:00,2022-10-01T12:20:43-05:00,0.00
799375,472,776980,771809,Payment Not Required,2022-10-01T06:32:50-05:00,2022-10-01T17:10:03-05:00,0.00
799376,473,761936,757360,Payment Not Required,2022-10-01T06:35:00-05:00,2022-10-01T16:02:56-05:00,0.00
799377,473,823072,813000,Payment Not Required,2022-10-01T06:35:43-05:00,2022-10-01T16:01:25-05:00,10.00
799378,473,816918,807537,Payment Completed,2022-10-01T06:36:26-05:00,2022-10-01T15:33:31-05:00,10.00
799381,472,777050,834387,Payment Not Required,2022-10-01T06:40:07-05:00,2022-10-01T12:32:11-05:00,0.00
799382,472,704752,701651,Payment Not Required,2022-10-01T06:40:18-05:00,2022-10-09T07:43:34-05:00,0.00
799383,472,769792,765006,Payment Not Required,2022-10-01T06:40:27-05:00,2022-10-01T17:38:25-05:00,0.00
799384,473,874475,851413,Payment Foregone,2022-10-01T06:40:30-05:00,2022-10-01T09:42:52-05:00,10.00
799385,473,857461,838509,Payment Completed,2022-10-01T06:40:40-05:00,2022-10-01T15:08:53-05:00,10.00
799387,472,771438,766588,Payment Not Required,2022-10-01T06:50:06-05:00,2022-10-01T17:35:45-05:00,0.00
799392,472,771711,766843,Payment Not Required,2022-10-01T06:54:10-05:00,2022-10-01T14:23:39-05:00,0.00
799393,472,798887,792871,Payment Not Required,2022-10-01T06:56:19-05:00,2022-10-01T17:51:26-05:00,0.00
799394,474,470458,469507,Payment Foregone,2022-10-01T06:57:02-05:00,2022-10-01T07:03:56-05:00,5.00
799396,473,767628,762891,Payment Foregone,2022-10-01T07:00:18-05:00,2022-10-01T11:34:03-05:00,10.00
799399,472,470861,469910,Payment Not Required,2022-10-01T07:04:09-05:00,2022-10-01T19:18:11-05:00,0.00
799400,472,770968,845811,Payment Not Required,2022-10-01T07:04:41-05:00,2022-10-01T16:08:06-05:00,0.00
799401,472,874482,851419,Payment Not Required,2022-10-01T07:07:12-05:00,2022-10-01T12:15:14-05:00,0.00
799403,472,853124,835250,Payment Not Required,2022-10-01T07:10:09-05:00,2022-10-01T18:09:16-05:00,0.00
799404,472,473261,472309,Payment Not Required,2022-10-01T07:10:35-05:00,2022-10-01T11:10:44-05:00,0.00
799405,473,769818,765031,Payment Foregone,2022-10-01T07:11:21-05:00,2022-10-01T11:55:52-05:00,10.00
799406,472,868297,846623,Payment Not Required,2022-10-01T07:15:32-05:00,2022-10-01T15:24:29-05:00,0.00
799407,472,470458,469507,Payment Not Required,2022-10-01T07:15:45-05:00,2022-10-01T13:34:54-05:00,0.00
799408,472,769866,765089,Payment Not Required,2022-10-01T07:17:08-05:00,2022-10-01T17:08:30-05:00,0.00
799409,472,564674,563258,Payment Not Required,2022-10-01T07:18:03-05:00,2022-10-01T18:46:21-05:00,0.00
799410,473,699495,696395,Payment Not Required,2022-10-01T07:18:06-05:00,2022-10-01T16:41:01-05:00,10.00
799411,473,875864,852403,Payment Not Required,2022-10-01T07:18:38-05:00,2022-10-01T17:01:55-05:00,10.00
799412,472,768683,763933,Payment Not Required,2022-10-01T07:19:27-05:00,2022-10-01T12:15:11-05:00,0.00
799413,473,873794,850923,Payment Not Required,2022-10-01T07:19:29-05:00,2022-10-01T17:02:05-05:00,10.00
799414,472,470698,469747,Payment Not Required,2022-10-01T07:19:33-05:00,2022-10-01T17:25:09-05:00,0.00
799415,472,787993,782253,Payment Not Required,2022-10-01T07:20:09-05:00,2022-10-01T11:45:18-05:00,0.00
799417,472,875495,852136,Payment Not Required,2022-10-01T07:20:16-05:00,2022-10-01T17:02:21-05:00,0.00
799418,473,770256,765460,Payment Not Required,2022-10-01T07:20:58-05:00,2022-10-01T17:02:21-05:00,0.00
799420,472,845369,829806,Payment Not Required,2022-10-01T07:24:14-05:00,2022-10-01T11:14:07-05:00,0.00
799421,472,858208,839084,Payment Not Required,2022-10-01T07:24:31-05:00,2022-10-01T18:41:00-05:00,0.00
799423,472,761488,802207,Payment Not Required,2022-10-01T07:24:56-05:00,2022-10-01T17:06:10-05:00,0.00
799424,473,524474,523256,Payment Foregone,2022-10-01T07:25:05-05:00,2022-10-01T20:53:20-05:00,30.00
799425,472,777124,771954,Payment Not Required,2022-10-01T07:25:31-05:00,2022-10-01T17:04:21-05:00,0.00
799426,472,835860,839072,Payment Not Required,2022-10-01T07:25:39-05:00,2022-10-01T17:05:52-05:00,0.00
799427,485,875456,852106,Payment Not Required,2022-10-01T07:24:28-05:00,2022-10-01T07:25:00-05:00,0.00
799428,472,787807,782186,Payment Not Required,2022-10-01T07:26:23-05:00,2022-10-01T10:46:43-05:00,0.00
799429,472,807428,799597,Payment Not Required,2022-10-01T07:27:30-05:00,2022-10-01T16:41:49-05:00,0.00
799430,472,768480,763740,Payment Not Required,2022-10-01T07:30:10-05:00,2022-10-01T15:07:00-05:00,0.00
799432,485,828614,817361,Payment Completed,2022-10-01T07:32:37-05:00,2022-10-01T07:33:00-05:00,10.00
799433,473,835505,822532,Payment Not Required,2022-10-01T07:34:39-05:00,2022-10-01T15:51:58-05:00,0.00
799434,472,769319,764539,Payment Not Required,2022-10-01T07:35:30-05:00,2022-10-01T17:06:15-05:00,0.00
